0,45.3,46.37,45.17,45.88,36758746
1,50.08,50.15,48.12,48.38,86916079
4,49.98,50.85,49.37,49.6,46304040
5,48.79,50.06,48.74,49.48,32814590
6,48.14,49.25,47.56,49.23,41619914
7,47.65,48.47,47.45,47.695,28840380
8,46.15,47.79,46.1,47.32,28663029
11,44.52,47.26,44.5,46.35,47869041
12,44.91,44.93,43.0302,44.02,58145381
13,45.2,46.3,44.34,44.58,37508414
14,42.75,45.42,42.74,45.28,43151330
15,43.95,44.28,42.04,43.5,49301141
18,44.83,45.16,44.09,44.15,28379521
19,44.46,44.775,44.255,44.59,19517609
20,45.38,45.51,44.04,44.07,19922010
21,45.92,45.99,44.95,45.88,23536793
22,45.56,46.59,45.51,45.815,21475207
26,46.32,46.71,45.39,45.46,25511962
27,45.94,47.06,45.92,46.67,27527487
28,45.8,46.56,45.62,46.14,16946353
29,47.73,47.79,46.305,46.34,26040911
32,49.11,49.13,48.1,48.2,26992306
33,49.91,50.9,49.31,49.37,43624077
34,49.29,50.34,49.28,50.18,35541183
35,47.84,49.715,47.47,49.5,36326639
36,48.98,49.05,46.96,47.2,33310592
39,49.75,49.795,48.041,48.57,30826521
40,50.71,51.33,50.15,50.16,39132300
41,51.32,51.485,50.1,50.18,31801943
42,50.74,52.08,50.47,51.79,29481157
43,52.19,52.3,51,51.27,32727914
0,51.52,51.95,50.5,51.86,31634095
1,51.78,53.78,51.39,52.52,45573922
2,51.86,52.175,51.31,52.06,24993502
3,50.88,52.3,50.88,52.23,25631228
4,51.17,51.7,50.99,51.17,40786743
7,50.83,51.23,49.93,50.74,31115248
8,51.55,51.81,50.85,50.88,22214951
9,51.56,52.17,51.17,51.55,23239476
10,50.83,51.96,50.6,50.74,30915970
11,49.36,50.99,49.36,50.59,37683871
14,52.48,52.49,50.32,50.74,39306227
15,51.19,53.25,50.78,53.01,38777042
16,49.6,50.7,49.01,50.5,37970859
17,52.08,52.08,49.87,49.98,45265805
21,48.92,52.04,47.29,51.69,67187824
22,49.75,49.96,48.41,49,39432360
23,49.99,50.16,48.01,48.1,30370046
24,50.38,50.7199,49.97,50.01,25115351



