0,92.33,93.24,91.93,92.465,26383238
1,94.06,94.06,92.58,93.12,29172167
4,93.92,95.45,93.72,95.14,31569940
5,92.74,93.66,92.1,93.3,38635053
6,95.01,95.4,93.51,93.75,48756338
7,94.26,96.07,93.5813,94.79,47227882
8,91.78,93.97,91.5,93.64,47867753
11,88,93.24,88,90.56,51031465
12,91.33,91.475,85.25,86.89,67998564
13,89.61,91.77,89.2,90.49,41107592
14,85.01,89.875,84.76,89.71,55628657
15,88.18,88.93,83.83,86.3,63499065
18,89.13,89.78,87.9295,88.735,35720341
19,89.83,90,87.8,88.93,26407702
20,90.81,90.99,88.41,88.51,34960912
21,92.66,92.72,90.62,91.21,27823866
22,92,93.5,91.8,92.45,30596919
26,92.72,93.06,91.01,91.475,30911725
27,91.49,93.3595,91.49,92.98,26922503
28,91.73,92.73,91.36,92.05,24392753
29,94.06,94.07,92.36,93.6,26329226
32,95.42,95.45,94.25,94.4,30199846
33,94.2,95.84,94.2,95.74,25869119
34,93.77,95.705,93.63,94.84,31167338
35,92.85,94.57,91.84,93.99,37135561
36,93.05,93.15,90.86,91.58,32830389
39,93.64,94.27,92.26,92.34,23901578
40,93.32,94.49,92.941,94.34,22175776
41,93.86,93.9406,92.43,93.16,26716127
42,94.43,95.1,93.765,94.27,25887828
43,96.54,96.54,95,95.29,36937254
0,96.77,97.21,96.04,96.5,25916247
1,94.41,97.24,93.97,97,35387817
2,93.85,95.41,93.5,95.12,32131981
3,94.18,94.58,92.83,93.53,27610998
4,94.6,95.38,93.92,94.68,48659222
7,92.89,93.9,92.11,93.74,33344085
8,93.13,93.77,93,93.05,23075240
9,92.48,94.05,92.21,92.93,24457082
10,89.79,91.75,89.66,91.265,38604715
11,87.18,90.46,87.08,89.5,44068949
14,93.78,94,90.4,90.61,56396780
15,89.47,95.139,88.51,94.94,56569011
16,89.39,91.23,88.873,89.82,52501146
17,91.27,92.29,88.4,90.18,45867548
21,88.52,90.88,87.51,90.47,48515417
22,89.71,90.05,87.89,89.575,37213837
23,92.33,92.76,87.73,87.85,35559956
24,92.38,93.065,91.4,92.435,29771881



