0,66.44,66.82,65.76,66.57,5408457
1,66.34,66.69,65.93,66.69,4628805
4,65.61,66.8,65.51,66.22,5059770
5,65.53,65.94,64.88,65.52,5621787
6,65.68,65.91,65.3,65.6,5347147
7,65.65,66.01,65.35,65.53,4121327
8,64.52,65.5,64.35,65.1,11212862
11,64.72,65.21,64.58,65,5948900
12,65.35,65.83,64.99,65.03,9619744
13,68.01,69.98,65.79,65.82,20912410
14,67.72,68.2199,67.52,68.2,7193418
15,67.48,68.18,67.31,68.13,6219940
18,67.1,68.61,66.9301,68.39,7122407
19,66.77,67.5,66.41,67.31,6297484
20,67.34,68.46,66.78,66.86,9812432
21,66.05,67.5,65.42,67.18,11780629
22,65.77,66.66,65.15,65.22,10142798
25,65.58,66.14,65.47,66.05,7426362
26,65.96,66.39,65.6,65.77,8099808
27,65.67,66.65,65.23,66.15,7084552
28,66.58,66.78,65.5375,65.58,6660325
29,69.47,70.1599,67.01,67.14,18359045
32,69.02,69.7,68.79,69.3,10998489
33,68.69,69,67.97,68.55,7438183
34,68.65,68.88,68.19,68.75,5130304
35,70,70.03,68.85,68.96,6491067
36,69.57,70.69,69.311,70.1,7121014
39,70,70.24,69.13,69.74,5554915
40,70.16,70.5625,70,70.14,4351021
41,69.78,70.32,69.48,70.25,4870062
42,69.37,69.87,69.28,69.55,6483841
43,69.62,69.85,69.3,69.3,4511698
47,68.54,69.499,68.31,69.31,6228123
48,69.49,69.74,68.5,68.85,7064824
49,69.56,69.78,68.8,69.48,3894955
50,68.68,69.6043,68.5151,69.33,6678126
53,69.11,69.45,68.43,69.13,6309379
54,69.04,69.46,68.01,68.73,4458019
55,68.95,69.5,68.89,69.26,4906437
56,68.21,69.145,68.025,68.63,6460018
57,68.37,68.6998,68,68.29,4413051
60,67.68,68.29,67.62,68.19,4864250
61,67.95,68.09,67.5283,67.67,4439728
62,69.63,69.67,68.11,68.22,6807778
63,69.64,70.02,69.4152,69.7,5238730
64,69.33,69.7383,69.02,69.43,4900741
67,68.57,68.99,68.17,68.72,5995111
68,69.01,69.17,68.2903,68.45,5937366
69,68.75,69.41,68.511,69.11,7818293
70,69.5,69.84,68.88,68.9,7596781
71,68.69,69.33,68.48,69.27,8728814
74,69.09,69.44,68.9,69.32,5511724
75,69.42,69.5899,69.09,69.1,3888705
76,68.86,69.4,68.76,69.11,4670595
77,68.62,69.38,68.51,69.38,4705090
78,68.75,69.21,68.41,68.7,7025589
81,66.72,68.49,66.69,67.99,9706735
82,67.15,67.48,66.76,67.34,6811014
83,67.85,68.3,67.53,67.94,6260775
84,68.24,68.32,67.62,68.15,5053044
88,68.12,68.12,67.36,67.55,5270623
89,67.77,68.2,66.53,68.11,6500716
90,66.73,67.32,66.65,67.01,5973457
91,67.05,67.9399,67.02,67.65,4837767
92,68.42,68.54,67.91,67.98,5110161
95,69.52,69.6,68.83,69.05,6832321
96,70.1,70.3,69.47,69.97,5635409
97,70.02,70.28,69.69,70.13,4506241
98,70.57,70.59,69.97,70.43,6512488
99,70.88,70.96,70.28,70.4,6287563
102,72.7,73,71.23,71.29,10198462
103,72.02,72.88,71.76,72.844,10919600
104,71.97,72.15,71.62,71.94,6303165
105,71.75,72.25,71.2,72.2,10755749
106,74.8,76.92,74.4,76.78,21196114
109,73.86,74.7099,73.582,74.28,10293792
110,74.74,75.18,73.85,74.3,10054266
111,76.01,76.43,74.67,74.95,13746934
112,76.38,76.76,75.24,75.89,6506995
113,75.34,76.51,75.32,76.45,8526346
116,75.77,76.04,75.01,75.59,5810801
117,75.27,76.08,75.03,75.53,6957856
118,74.98,76.17,74.92,76.05,6976371
119,73.58,75.42,73.55,75.3,7767766
120,74.21,74.31,73.32,73.68,6484583
123,74.38,75.18,73.85,74.89,6183517
124,73.36,74.27,73.22,73.81,6475970
125,73.54,73.835,72.39,72.87,7656064
126,73.93,74.425,73.38,73.43,5992012
127,74.22,74.4,73.45,73.85,3861503
130,74.41,74.44,73.5,74,3473502
131,74.47,74.73,74.01,74.26,6325531
132,74.4,74.96,73.67,74.2,5886855
133,73.95,74.53,72.81,73.56,11982232
134,71.19,73.62,70.96,72.5,15383487
137,68.36,71.06,60,64.16,20789180
138,66.97,71.8,66.6,71.69,14356279
139,70.69,70.99,67.9,69.37,12066447
140,72.4,72.49,70.8,71.94,8930268
141,72.46,72.665,71.6,72.1,6392440
144,71.3,72.085,70.82,71.91,8279549
145,68.96,70.39,68.5,69.41,11230845
146,69.62,69.95,68.7,69.94,9144307
147,70.4,71.085,69.99,70.45,8993956
148,69.16,69.91,68.64,69.29,9415150
152,70.53,71.01,69.55,70.75,7928135
153,69.6,71.375,69.43,70.75,8938669
154,70.23,70.65,69.46,69.5,7214869
155,70.76,70.81,69.4575,69.86,6326625
158,70.01,70.8,69.615,70.72,7031427
159,70.51,70.7467,69.51,70.48,6962060
160,70.99,71.11,70.05,70.45,8072173
